Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.6443 Degree
Longitude: -79.9821 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.317,0.379,0.458,0.519,0.597,0.657,0.714,0.773,0.851,0.910
10-min:, 0.493,0.591,0.712,0.802,0.913,0.995,1.08,1.15,1.25,1.32
15-min:, 0.604,0.723,0.874,0.987,1.13,1.23,1.34,1.44,1.56,1.66
30-min:, 0.799,0.967,1.20,1.37,1.59,1.76,1.93,2.10,2.31,2.48
60-min:, 0.976,1.19,1.50,1.74,2.07,2.32,2.58,2.84,3.20,3.48
2-hr:, 1.12,1.36,1.71,1.98,2.36,2.66,2.97,3.29,3.73,4.07
3-hr:, 1.19,1.44,1.80,2.10,2.50,2.83,3.17,3.52,4.02,4.41
6-hr:, 1.42,1.71,2.14,2.48,2.96,3.35,3.77,4.20,4.82,5.32
12-hr:, 1.68,2.01,2.48,2.87,3.42,3.88,4.37,4.88,5.62,6.21
24-hr:, 2.00,2.38,2.91,3.34,3.96,4.46,4.98,5.53,6.31,6.93
2-day:, 2.33,2.77,3.35,3.83,4.48,5.02,5.57,6.13,6.92,7.54
3-day:, 2.50,2.97,3.56,4.05,4.73,5.27,5.83,6.41,7.20,7.83
4-day:, 2.67,3.16,3.78,4.28,4.97,5.53,6.10,6.68,7.48,8.11
7-day:, 3.19,3.76,4.44,4.98,5.72,6.29,6.88,7.46,8.24,8.84
10-day:, 3.68,4.33,5.06,5.64,6.41,7.02,7.62,8.22,9.00,9.60
20-day:, 5.15,6.04,6.96,7.69,8.64,9.38,10.1,10.8,11.7,12.3
30-day:, 6.47,7.55,8.63,9.48,10.6,11.4,12.2,13.0,14.0,14.7
45-day:, 8.27,9.64,10.9,11.8,13.1,14.0,14.8,15.6,16.6,17.3
60-day:, 9.97,11.6,13.0,14.0,15.4,16.3,17.2,18.1,19.1,19.7

Date/time (GMT):  Tue Sep 22 14:19:45 2026
pyRunTime:  0.009443998336791992
